date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-23.991666666666664,63.12166666666666,4.2025000000000015,286.6666666666667,0.0,0.0,0.0
2018-01-01 02:00:00,-23.99090909090909,63.12181818181818,3.8836363636363633,290.0,0.0,0.0,0.0
2018-01-01 03:00:00,-24.036363636363635,63.38636363636362,3.04,283.6363636363636,0.0,0.0,0.0
2018-01-01 04:00:00,-24.33333333333333,65.16083333333334,2.8725,285.8333333333333,0.0,0.0,0.0
2018-01-01 05:00:00,-25.0,69.13000000000001,2.730769230769231,289.23076923076917,0.0,0.0,0.0
2018-01-01 06:00:00,-25.0,68.84727272727274,2.9009090909090918,298.1818181818182,0.0,0.0,0.0
2018-01-01 07:00:00,-25.41818181818182,71.58272727272725,2.527272727272728,291.8181818181818,0.0,0.0,0.0
2018-01-01 08:00:00,-25.963636363636365,74.55636363636363,2.199090909090909,284.54545454545456,0.0,0.0,0.0
2018-01-01 09:00:00,-25.7,73.75800000000002,2.2640000000000002,290.0,27.5,134.5,18.5
2018-01-01 10:00:00,-24.025,63.38916666666668,3.2166666666666672,300.0,163.5,648.0,42.5
2018-01-01 11:00:00,-22.977777777777767,63.39555555555553,3.4877777777777785,307.77777777777777,293.0,851.0,50.5
2018-01-01 12:00:00,-21.677777777777774,61.18555555555553,2.572222222222222,265.5555555555556,374.0,909.5,55.5
2018-01-01 13:00:00,-19.854545454545452,56.44545454545455,2.9009090909090918,295.45454545454544,403.5,928.0,56.5
2018-01-01 14:00:00,-18.3,51.54363636363637,3.1818181818181817,291.8181818181818,377.5,914.5,54.0
2018-01-01 15:00:00,-17.745454545454546,53.37636363636364,2.665454545454545,288.1818181818182,287.5,794.5,55.0
2018-01-01 16:00:00,-17.981818181818184,53.98727272727273,3.3681818181818177,249.0909090909091,157.0,591.0,47.5
2018-01-01 17:00:00,-18.172727272727272,52.86818181818182,3.180909090909091,250.9090909090909,47.5,367.5,19.5
2018-01-01 18:00:00,-19.033333333333328,54.08916666666667,3.0883333333333334,241.66666666666663,0.0,0.0,0.0
2018-01-01 19:00:00,-19.818181818181817,57.91818181818182,2.3845454545454543,239.0909090909091,0.0,0.0,0.0
2018-01-01 20:00:00,-20.87272727272727,63.45545454545454,2.6663636363636365,232.72727272727272,0.0,0.0,0.0
2018-01-01 21:00:00,-21.01,63.927,2.623,232.0,0.0,0.0,0.0
2018-01-01 22:00:00,-21.33636363636364,65.84272727272726,2.5727272727272728,235.45454545454547,0.0,0.0,0.0
2018-01-01 23:00:00,-21.975,69.59666666666665,3.2150000000000003,246.66666666666663,0.0,0.0,0.0
2018-01-02 00:00:00,-21.79090909090909,68.51090909090908,2.9936363636363637,243.63636363636363,0.0,0.0,0.0
2018-01-02 01:00:00,-21.97272727272728,69.5781818181818,2.571818181818182,237.27272727272728,0.0,0.0,0.0
2018-01-02 02:00:00,-21.97,69.556,1.49,182.0,0.0,0.0,0.0
2018-01-02 03:00:00,-21.392307692307693,66.4153846153846,2.453076923076923,214.61538461538456,0.0,0.0,0.0
2018-01-02 04:00:00,-21.975,68.27166666666666,2.4866666666666664,212.5,0.0,0.0,0.0
2018-01-02 05:00:00,-22.10909090909091,64.19181818181816,2.8063636363636366,212.72727272727272,0.0,0.0,0.0
2018-01-02 06:00:00,-22.38181818181818,62.87181818181818,3.3681818181818177,211.8181818181818,0.0,0.0,0.0
2018-01-02 07:00:00,-22.830769230769228,62.34384615384614,3.3653846153846163,216.15384615384616,0.0,0.0,0.0
2018-01-02 08:00:00,-22.977777777777767,63.07444444444444,3.316666666666667,197.77777777777766,0.0,0.0,0.0
2018-01-02 09:00:00,-22.32,61.879,4.344444444444445,200.0,27.0,133.0,18.0
2018-01-02 10:00:00,-19.858333333333334,62.83583333333333,5.3133333333333335,210.0,126.0,398.0,53.5
2018-01-02 11:00:00,-17.518181818181816,64.34272727272727,5.9372727272727275,221.8181818181818,204.0,407.0,88.5
2018-01-02 12:00:00,-15.075,61.33499999999998,5.9591666666666665,209.16666666666663,313.5,674.0,76.0
2018-01-02 13:00:00,-12.57,59.895,6.4819999999999975,206.0,197.0,207.0,119.5
2018-01-02 14:00:00,-11.258333333333333,57.45083333333332,6.901666666666667,215.8333333333333,132.0,45.0,116.0
2018-01-02 15:00:00,-10.963636363636363,59.50272727272727,7.5290909090909075,219.0909090909091,78.5,4.0,77.0
2018-01-02 16:00:00,-11.01,61.327,7.0470000000000015,229.0,43.0,0.0,43.0
2018-01-02 17:00:00,-11.15,66.915,5.3271428571428565,226.42857142857144,13.5,3.0,13.5
2018-01-02 18:00:00,-10.96923076923077,66.47769230769232,5.341538461538463,233.84615384615384,0.0,0.0,0.0
2018-01-02 19:00:00,-10.23076923076923,69.1253846153846,5.2215384615384615,251.5384615384616,0.0,0.0,0.0
2018-01-02 20:00:00,-10.0,68.76799999999999,4.989,280.0,0.0,0.0,0.0
2018-01-02 21:00:00,-10.0,67.5690909090909,5.330909090909091,304.54545454545456,0.0,0.0,0.0
2018-01-02 22:00:00,-10.76,61.953,6.121,315.0,0.0,0.0,0.0
2018-01-02 23:00:00,-11.01,61.066,6.122000000000001,316.0,0.0,0.0,0.0
2018-01-03 00:00:00,-11.766666666666666,60.04166666666666,7.287500000000001,308.3333333333333,0.0,0.0,0.0
2018-01-03 01:00:00,-12.922222222222222,59.99,7.087777777777778,322.22222222222223,0.0,0.0,0.0
2018-01-03 02:00:00,-13.945454545454545,59.31545454545454,6.21909090909091,324.54545454545456,0.0,0.0,0.0
2018-01-03 03:00:00,-14.636363636363635,58.25545454545453,4.90909090909091,327.27272727272725,0.0,0.0,0.0
2018-01-03 04:00:00,-15.8875,60.73375,4.82375,327.5,0.0,0.0,0.0
2018-01-03 05:00:00,-16.336363636363636,61.40363636363637,4.7227272727272736,321.8181818181818,0.0,0.0,0.0
2018-01-03 06:00:00,-17.022222222222222,64.97444444444447,4.6866666666666665,316.6666666666667,0.0,0.0,0.0
2018-01-03 07:00:00,-17.371428571428574,65.74071428571429,4.96,316.42857142857144,0.0,0.0,0.0
2018-01-03 08:00:00,-17.981818181818184,64.72454545454546,4.536363636363637,312.72727272727275,0.0,0.0,0.0
2018-01-03 09:00:00,-17.981818181818184,64.72454545454546,6.2663636363636375,305.45454545454544,28.5,156.5,18.0
2018-01-03 10:00:00,-17.981818181818184,64.72454545454546,6.078181818181817,313.6363636363636,129.0,419.5,51.5
2018-01-03 11:00:00,-16.97,61.947,5.349,321.0,249.5,659.0,60.0
2018-01-03 12:00:00,-16.091666666666665,60.13916666666668,4.416666666666667,320.8333333333333,362.0,864.0,57.0
2018-01-03 13:00:00,-15.96,59.453,5.7090000000000005,307.0,395.5,894.0,58.5
2018-01-03 14:00:00,-15.96,59.453,5.349999999999999,301.0,382.0,900.0,60.5
2018-01-03 15:00:00,-15.963636363636365,59.48,5.75090909090909,300.90909090909093,288.0,790.5,54.5
2018-01-03 16:00:00,-15.966666666666667,54.60999999999999,4.672500000000001,311.6666666666667,146.0,486.5,50.5
2018-01-03 17:00:00,-16.245454545454546,55.71000000000001,4.070909090909091,321.8181818181818,37.0,185.0,22.0
2018-01-03 18:00:00,-17.016666666666666,59.41166666666667,3.2158333333333338,328.3333333333333,0.0,0.0,0.0
2018-01-03 19:00:00,-17.316666666666666,57.63416666666666,3.6875,324.1666666666667,0.0,0.0,0.0
2018-01-03 20:00:00,-18.03,59.38800000000001,3.036,334.0,0.0,0.0,0.0
2018-01-03 21:00:00,-18.783333333333328,61.45666666666667,2.4008333333333334,323.3333333333333,0.0,0.0,0.0
2018-01-03 22:00:00,-19.672727272727272,62.45,2.4309090909090902,320.0,0.0,0.0,0.0
2018-01-03 23:00:00,-19.818181818181817,63.22636363636364,2.5718181818181822,330.0,0.0,0.0,0.0
2018-01-04 00:00:00,-20.66,66.208,2.213,332.0,0.0,0.0,0.0
2018-01-04 01:00:00,-19.34,60.68599999999999,2.676,341.0,0.0,0.0,0.0
2018-01-04 02:00:00,-19.033333333333328,59.52583333333334,2.316666666666666,337.5,0.0,0.0,0.0
2018-01-04 03:00:00,-19.14,60.18300000000001,1.3370000000000002,204.0,0.0,0.0,0.0
2018-01-04 04:00:00,-20.31,61.61600000000001,2.0069999999999997,240.0,0.0,0.0,0.0
2018-01-04 05:00:00,-20.96,64.551,1.7990000000000002,335.0,0.0,0.0,0.0
2018-01-04 06:00:00,-20.09090909090909,64.7209090909091,2.290909090909091,344.54545454545456,0.0,0.0,0.0
2018-01-04 07:00:00,-20.0,64.19,2.114444444444444,207.77777777777766,0.0,0.0,0.0
2018-01-04 08:00:00,-20.0,64.19000000000001,1.8519999999999999,57.0,0.0,0.0,0.0
2018-01-04 09:00:00,-20.0,65.61999999999999,1.7309090909090907,27.272727272727273,20.0,41.0,17.0
2018-01-04 10:00:00,-19.54,63.2,1.1309999999999998,22.0,91.0,149.0,64.0
2018-01-04 11:00:00,-18.990909090909085,64.20454545454545,0.7945454545454548,128.1818181818182,158.0,152.5,113.5
2018-01-04 12:00:00,-17.927272727272726,58.73636363636364,1.2145454545454546,164.54545454545453,339.5,747.5,73.0
2018-01-04 13:00:00,-17.063636363636366,55.19818181818182,1.5890909090909089,264.54545454545456,406.5,911.5,61.5
2018-01-04 14:00:00,-16.341666666666665,51.34666666666666,1.3266666666666664,274.1666666666667,382.0,897.0,60.0
2018-01-04 15:00:00,-16.009999999999998,50.087,1.645,279.0,305.0,845.0,54.0
2018-01-04 16:00:00,-16.518181818181816,52.3090909090909,2.339090909090909,291.8181818181818,186.5,727.5,42.5
2018-01-04 17:00:00,-17.400000000000002,56.34083333333334,1.6283333333333332,267.5,54.0,400.5,23.0
2018-01-04 18:00:00,-18.108333333333334,58.94499999999999,1.0283333333333329,183.3333333333333,0.0,0.0,0.0
2018-01-04 19:00:00,-18.69,61.71199999999999,1.646,299.0,0.0,0.0,0.0
2018-01-04 20:00:00,-18.71818181818182,57.53,1.4472727272727268,104.54545454545456,0.0,0.0,0.0
2018-01-04 21:00:00,-19.677777777777774,61.00999999999999,0.2288888888888889,1.1111111111111112,0.0,0.0,0.0
2018-01-04 22:00:00,-21.79090909090909,66.88363636363636,0.0,0.0,0.0,0.0,0.0
2018-01-04 23:00:00,-22.02,66.78899999999999,0.0,0.0,0.0,0.0,0.0
2018-01-05 00:00:00,-22.93636363636364,69.07636363636365,0.0,0.0,0.0,0.0,0.0
2018-01-05 01:00:00,-23.10833333333333,69.07416666666667,0.12833333333333333,28.33333333333333,0.0,0.0,0.0
2018-01-05 02:00:00,-22.92727272727273,68.17545454545456,1.7763636363636364,347.27272727272725,0.0,0.0,0.0
