,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),relative_humidity (0-1),wind_speed (m/s)
2018-12-31 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.2,0.0,219.48,0.66,1.85
2018-12-31 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.41,0.0,220.51,0.68,2.26
2018-12-31 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.39,0.0,236.59,0.7,2.38
2018-12-31 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.35,0.0,246.7,0.73,2.45
2018-12-31 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.4,0.0,223.53,0.75,2.81
2018-12-31 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.06,0.0,223.23,0.77,2.96
2018-12-31 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.29,0.0,224.18,0.78,2.62
2018-12-31 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.25,0.0,226.5,0.78,2.66
2018-12-31 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.36,0.0,228.01,0.8,2.68
2018-12-31 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.25,0.0,228.85,0.82,2.79
2018-12-31 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.27,0.0,231.3,0.84,2.5
2018-12-31 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.33,0.0,235.39,0.85,2.27
2018-12-31 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.37,0.0,237.36,0.87,2.26
2018-12-31 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.39,18.32,242.57,0.88,2.85
2018-12-31 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.78,122.88,244.74,0.83,2.68
2018-12-31 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.02,253.45,241.87,0.76,2.34
2018-12-31 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.31,305.27,255.45,0.7,3.5
2018-12-31 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.61,350.35,262.71,0.63,3.33
2018-12-31 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.2,342.66,261.66,0.59,3.83
2018-12-31 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.13,221.88,286.94,0.59,3.97
2018-12-31 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.7,117.08,295.73,0.62,3.65
2018-12-31 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.21,35.26,298.75,0.65,4.01
2018-12-31 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.89,1.35,299.49,0.67,3.45
2018-12-31 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.59,0.0,304.34,0.69,3.67
2019-01-01 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.16,0.0,305.0,0.72,4.21
2019-01-01 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.1,0.0,308.03,0.83,4.41
2019-01-01 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.52,0.0,314.42,0.89,5.34
2019-01-01 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.73,0.0,314.85,0.9,5.86
2019-01-01 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.65,0.0,319.79,0.93,6.15
2019-01-01 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.42,0.0,322.54,0.91,6.31
2019-01-01 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.02,0.0,325.87,0.93,6.25
2019-01-01 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.49,0.0,327.82,0.93,7.38
2019-01-01 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.71,0.0,333.11,0.93,8.22
2019-01-01 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.72,0.0,341.71,0.95,6.73
2019-01-01 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,9.11,0.0,350.91,0.95,5.54
2019-01-01 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,9.91,0.0,360.17,0.93,7.1
2019-01-01 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,9.98,0.0,360.89,0.92,7.83
2019-01-01 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,10.21,12.22,344.6,0.91,7.81
2019-01-01 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,11.27,97.93,342.71,0.8,8.2
2019-01-01 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,12.31,127.4,359.68,0.65,8.56
2019-01-01 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,12.42,247.21,339.3,0.55,9.04
2019-01-01 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,11.95,341.71,301.85,0.51,8.84
2019-01-01 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,11.72,389.03,272.9,0.51,8.57
2019-01-01 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,10.53,314.42,272.39,0.51,8.11
2019-01-01 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,9.0,219.4,257.61,0.52,7.85
2019-01-01 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,7.22,88.03,253.79,0.53,7.58
2019-01-01 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.47,3.22,246.47,0.56,5.76
2019-01-01 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.84,0.0,241.29,0.57,5.53
2019-01-02 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.33,0.0,239.43,0.59,5.55
2019-01-02 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.63,0.0,234.01,0.58,5.45
2019-01-02 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.78,0.0,227.81,0.57,5.13
2019-01-02 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.81,0.0,220.55,0.56,4.88
2019-01-02 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.09,0.0,214.41,0.55,4.66
2019-01-02 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.17,0.0,208.92,0.53,4.78
2019-01-02 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.77,0.0,204.8,0.52,4.74
2019-01-02 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.06,0.0,206.44,0.51,4.58
2019-01-02 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.06,0.0,204.72,0.52,4.45
2019-01-02 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.24,0.0,212.3,0.48,4.36
2019-01-02 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.93,0.0,213.68,0.51,4.26
2019-01-02 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.87,0.0,218.73,0.5,4.39
2019-01-02 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.77,0.0,227.1,0.49,4.38
2019-01-02 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.85,24.39,203.53,0.49,3.71
2019-01-02 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.03,152.91,198.63,0.45,3.27
2019-01-02 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.03,290.85,196.21,0.4,2.9
2019-01-02 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.43,389.05,196.86,0.38,2.56
2019-01-02 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.39,431.89,197.87,0.34,2.02
2019-01-02 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.6,418.45,201.96,0.32,1.4
2019-01-02 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.71,344.46,207.77,0.32,0.78
2019-01-02 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.47,209.92,217.34,0.34,0.89
2019-01-02 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.5,76.86,222.02,0.45,1.68
2019-01-02 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.12,3.01,231.77,0.48,2.06
2019-01-02 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.42,0.0,226.99,0.51,2.12
2019-01-03 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.85,0.0,216.19,0.55,2.35
2019-01-03 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.6,0.0,225.71,0.57,3.02
2019-01-03 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.39,0.0,253.87,0.6,3.16
2019-01-03 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.3,0.0,253.08,0.64,3.52
2019-01-03 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.15,0.0,241.07,0.67,3.11
2019-01-03 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.05,0.0,243.7,0.7,3.1
2019-01-03 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.5,0.0,251.72,0.7,3.76
2019-01-03 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.11,0.0,272.88,0.7,4.41
2019-01-03 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.47,0.0,286.46,0.73,4.73
2019-01-03 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.75,0.0,296.05,0.77,4.8
2019-01-03 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.21,0.0,304.65,0.81,3.77
2019-01-03 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.17,0.0,308.02,0.82,3.51
2019-01-03 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.45,0.0,314.04,0.83,3.86
2019-01-03 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.7,5.31,316.54,0.86,3.3
2019-01-03 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.74,20.0,320.48,0.88,2.85
2019-01-03 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.03,108.59,309.66,0.87,2.94
2019-01-03 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.58,327.71,257.57,0.77,4.05
2019-01-03 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.73,365.71,258.19,0.68,5.06
2019-01-03 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.4,381.76,253.63,0.61,4.72
2019-01-03 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.48,296.65,257.75,0.58,4.12
2019-01-03 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.2,216.89,253.37,0.58,3.7
2019-01-03 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.35,73.71,261.62,0.6,2.81
2019-01-03 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.01,4.03,239.62,0.66,3.22
2019-01-03 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.37,0.0,234.4,0.67,3.37
2019-01-04 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.84,0.0,233.84,0.68,3.29
2019-01-04 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.6,0.0,233.0,0.66,3.47
2019-01-04 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.12,0.0,228.98,0.66,3.42
2019-01-04 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.94,0.0,229.42,0.66,2.98
2019-01-04 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.5,0.0,228.1,0.67,3.05
2019-01-04 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.05,0.0,225.6,0.69,3.24
2019-01-04 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.86,0.0,233.44,0.69,3.15
2019-01-04 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.1,0.0,233.25,0.7,3.41
2019-01-04 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.08,0.0,226.48,0.7,3.37
2019-01-04 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.99,0.0,228.32,0.71,3.48
2019-01-04 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.31,0.0,230.47,0.73,2.98
2019-01-04 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.22,0.0,233.07,0.72,3.09
2019-01-04 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.02,0.0,235.54,0.72,3.34
2019-01-04 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.35,22.74,235.33,0.72,3.56
2019-01-04 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.22,141.06,238.56,0.66,4.13
2019-01-04 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.09,271.18,240.12,0.6,5.17
2019-01-04 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.19,366.74,243.38,0.56,5.38
2019-01-04 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.35,410.06,246.78,0.52,5.06
2019-01-04 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,7.1,394.6,250.87,0.51,4.78
2019-01-04 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,7.63,321.8,256.74,0.5,4.55
2019-01-04 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,7.55,194.34,260.74,0.51,4.08
2019-01-04 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.92,79.44,264.12,0.54,4.0
2019-01-04 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.39,3.93,262.66,0.6,3.92
2019-01-04 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.03,0.0,262.49,0.62,4.49
2019-01-05 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.77,0.0,262.5,0.64,4.34
2019-01-05 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.56,0.0,264.71,0.66,4.13
2019-01-05 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.46,0.0,267.38,0.68,4.24
2019-01-05 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.1,0.0,266.82,0.69,3.87
2019-01-05 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.57,0.0,264.83,0.72,3.67
2019-01-05 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.33,0.0,266.59,0.74,3.61
2019-01-05 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.94,0.0,269.66,0.78,3.65
2019-01-05 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.77,0.0,270.35,0.8,3.03
2019-01-05 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.67,0.0,269.08,0.83,2.48
2019-01-05 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.69,0.0,280.67,0.86,2.04
2019-01-05 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.91,0.0,304.82,0.89,0.95
2019-01-05 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.24,0.0,314.16,0.88,0.65
2019-01-05 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.14,0.0,321.56,0.9,0.5
2019-01-05 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.39,3.59,326.48,0.92,0.67
2019-01-05 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.97,26.14,328.93,0.93,1.38
2019-01-05 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.19,34.23,331.15,0.92,2.36
2019-01-05 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.25,29.95,334.56,0.92,3.05
2019-01-05 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.52,37.83,335.63,0.91,3.46
2019-01-05 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.34,41.22,334.14,0.91,3.98
2019-01-05 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.23,27.7,330.73,0.92,4.8
2019-01-05 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.07,14.16,329.27,0.92,5.14
2019-01-05 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.09,6.2,328.57,0.92,5.27
2019-01-05 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.78,0.46,327.91,0.92,4.44
2019-01-05 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.49,0.0,326.5,0.93,4.68
2019-01-06 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.25,0.0,325.31,0.93,5.04
2019-01-06 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.93,0.0,318.52,0.92,4.87
2019-01-06 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.42,0.0,291.92,0.91,4.73
2019-01-06 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.64,0.0,262.67,0.91,4.24
2019-01-06 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.29,0.0,246.27,0.9,4.48
2019-01-06 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.32,0.0,243.92,0.88,4.58
2019-01-06 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.45,0.0,249.36,0.87,4.51
2019-01-06 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.68,0.0,255.0,0.87,4.59
2019-01-06 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.69,0.0,246.36,0.87,4.92
2019-01-06 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.59,0.0,242.22,0.86,4.84
2019-01-06 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.8,0.0,237.58,0.89,4.24
2019-01-06 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.83,0.0,237.62,0.88,3.89
2019-01-06 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.9,0.0,237.46,0.87,3.72
2019-01-06 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.46,18.38,254.0,0.85,3.68
2019-01-06 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.57,89.24,270.01,0.81,3.81
2019-01-06 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.89,134.0,300.35,0.75,3.93
2019-01-06 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.92,228.19,278.86,0.68,4.55
2019-01-06 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.94,294.11,263.82,0.59,6.19
2019-01-06 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.4,314.65,257.66,0.57,5.53
2019-01-06 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.51,329.07,245.33,0.55,6.2
2019-01-06 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.7,217.93,255.28,0.54,6.68
2019-01-06 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.5,85.48,248.73,0.54,6.79
2019-01-06 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.56,5.84,228.88,0.54,6.71
2019-01-06 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.31,0.0,220.78,0.54,6.85
2019-01-07 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.32,0.0,215.75,0.51,7.39
2019-01-07 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.52,0.0,211.79,0.47,7.96
2019-01-07 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.56,0.0,203.04,0.46,7.87
2019-01-07 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.56,0.0,197.92,0.46,7.89
2019-01-07 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.32,0.0,195.52,0.45,7.82
2019-01-07 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-4.08,0.0,193.65,0.45,7.79
2019-01-07 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-4.86,0.0,190.69,0.45,7.62
2019-01-07 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-5.08,0.0,189.23,0.45,7.52
2019-01-07 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-5.92,0.0,187.93,0.44,7.53
2019-01-07 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-6.27,0.0,184.47,0.42,7.45
2019-01-07 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-7.17,0.0,181.1,0.44,7.05
2019-01-07 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-7.43,0.0,177.21,0.44,6.9
2019-01-07 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-7.56,0.0,173.38,0.43,6.8
2019-01-07 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-7.47,26.73,172.25,0.42,6.54
2019-01-07 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-6.55,161.67,172.57,0.38,5.72
2019-01-07 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-5.27,302.7,174.45,0.35,5.31
2019-01-07 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-4.35,403.5,177.55,0.32,4.87
2019-01-07 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.21,453.65,180.54,0.29,4.27
2019-01-07 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.53,443.32,183.81,0.27,3.72
2019-01-07 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.22,363.86,191.77,0.26,3.42
2019-01-07 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.86,253.35,193.19,0.26,3.21
2019-01-07 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.22,94.39,206.47,0.27,2.28
2019-01-07 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.82,4.47,243.28,0.3,1.46
2019-01-07 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.2,0.0,243.69,0.34,1.22
2019-01-08 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.38,0.0,247.45,0.35,1.08
2019-01-08 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.49,0.0,244.92,0.38,1.03
2019-01-08 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-3.52,0.0,249.18,0.42,1.37
2019-01-08 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.95,0.0,259.7,0.43,2.03
2019-01-08 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.55,0.0,278.57,0.44,1.59
2019-01-08 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.36,0.0,287.77,0.46,1.63
2019-01-08 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.22,0.0,293.84,0.45,1.98
2019-01-08 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.0,0.0,294.25,0.45,2.23
2019-01-08 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.11,0.0,294.61,0.53,3.08
2019-01-08 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-2.07,0.0,295.09,0.61,3.86
2019-01-08 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.49,0.0,294.69,0.72,3.22
2019-01-08 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.21,0.0,295.66,0.74,3.69
2019-01-08 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.06,0.0,297.63,0.78,4.08
2019-01-08 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.69,5.08,304.82,0.81,4.34
2019-01-08 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.28,29.03,309.84,0.84,4.43
2019-01-08 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.06,51.71,310.76,0.85,4.14
2019-01-08 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,1.4,58.23,321.67,0.87,4.1
2019-01-08 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.53,72.6,326.54,0.89,3.92
2019-01-08 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.9,81.22,330.43,0.92,3.44
2019-01-08 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.87,75.77,329.35,0.94,3.54
2019-01-08 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.16,57.02,331.48,0.95,3.4
2019-01-08 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.22,14.49,333.7,0.94,2.94
2019-01-08 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.43,2.05,335.18,0.95,1.48
2019-01-08 23:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.35,0.0,336.37,0.95,1.24
2019-01-09 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.9,0.0,332.25,0.96,1.16
2019-01-09 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.91,0.0,327.08,0.96,1.41
2019-01-09 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.74,0.0,335.7,0.97,1.02
2019-01-09 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.36,0.0,330.95,0.96,1.08
2019-01-09 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.25,0.0,330.86,0.97,0.46
2019-01-09 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.54,0.0,329.33,0.96,0.87
2019-01-09 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.44,0.0,327.53,0.98,1.44
2019-01-09 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.02,0.0,323.37,0.98,1.07
2019-01-09 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.12,0.0,322.54,0.98,1.07
2019-01-09 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.09,0.0,322.96,0.98,0.96
2019-01-09 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.15,0.0,322.21,0.93,0.75
2019-01-09 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.37,0.0,322.65,0.93,2.06
2019-01-09 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,2.96,0.0,322.68,0.91,4.01
2019-01-09 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.65,8.29,313.32,0.88,6.02
2019-01-09 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.24,74.91,300.42,0.84,6.98
2019-01-09 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.93,229.06,271.69,0.8,7.11
2019-01-09 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.67,346.98,262.83,0.74,8.38
2019-01-09 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.75,303.94,275.09,0.71,8.18
