datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2)
2019-01-01 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.05,0.80,6.41,0.00,273.71
2019-01-01 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.55,0.77,6.34,0.00,264.11
2019-01-01 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.43,0.75,6.22,0.00,256.70
2019-01-01 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.39,0.70,5.85,0.00,251.43
2019-01-01 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.12,0.69,5.79,0.00,232.03
2019-01-01 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.24,0.68,5.63,0.00,229.58
2019-01-01 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.93,0.70,5.27,0.00,225.20
2019-01-01 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.44,0.69,4.76,0.00,225.36
2019-01-01 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.18,0.72,4.42,0.00,219.65
2019-01-01 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.96,0.70,4.18,0.00,193.11
2019-01-01 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.13,0.74,4.20,0.00,182.67
2019-01-01 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.25,0.74,3.58,0.00,169.01
2019-01-01 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.68,0.75,2.93,0.00,160.53
2019-01-01 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.97,0.75,2.11,0.00,165.66
2019-01-01 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.36,0.76,2.48,0.06,171.21
2019-01-01 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.69,0.72,2.90,49.03,179.21
2019-01-01 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.37,0.71,2.60,162.79,171.62
2019-01-01 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-17.23,0.69,2.26,269.83,179.96
2019-01-01 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-16.33,0.67,1.39,299.92,194.09
2019-01-01 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.54,0.65,1.31,368.45,172.80
2019-01-01 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.52,0.63,1.45,333.03,174.58
2019-01-01 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.89,0.62,1.38,241.91,174.40
2019-01-01 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.26,0.68,1.18,126.48,177.44
2019-01-01 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.84,0.65,1.78,17.91,167.28
2019-01-02 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.76,0.64,1.66,0.00,166.77
2019-01-02 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.38,0.70,1.99,0.00,165.13
2019-01-02 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.98,0.72,2.28,0.00,164.32
2019-01-02 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-17.53,0.77,2.82,0.00,163.72
2019-01-02 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.27,0.82,2.88,0.00,163.43
2019-01-02 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-20.38,0.83,3.13,0.00,163.26
2019-01-02 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-21.89,0.86,3.07,0.00,163.57
2019-01-02 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-21.32,0.83,2.49,0.00,168.17
2019-01-02 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.84,0.78,2.72,0.00,173.20
2019-01-02 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.93,0.73,3.06,0.00,183.38
2019-01-02 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.13,0.77,3.37,0.00,187.35
2019-01-02 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.55,0.76,3.66,0.00,213.72
2019-01-02 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.86,0.75,3.81,0.00,243.10
2019-01-02 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.19,0.75,4.15,0.00,235.66
2019-01-02 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.86,0.74,4.55,0.06,215.06
2019-01-02 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.83,0.69,4.99,52.41,193.17
2019-01-02 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.01,0.67,4.70,182.45,187.33
2019-01-02 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-8.42,0.66,5.30,291.29,195.52
2019-01-02 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.85,0.63,5.09,348.56,202.96
2019-01-02 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.53,0.64,4.91,373.33,202.15
2019-01-02 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.07,0.67,4.40,266.51,235.62
2019-01-02 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.61,0.70,3.68,161.57,256.79
2019-01-02 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.51,0.76,2.74,98.47,231.37
2019-01-02 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.99,0.79,2.16,17.27,220.82
2019-01-03 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.82,0.82,2.43,0.00,245.38
2019-01-03 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.37,0.83,2.72,0.00,264.65
2019-01-03 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.00,0.83,2.83,0.00,265.89
2019-01-03 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-5.67,0.84,2.86,0.00,267.84
2019-01-03 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-5.54,0.85,2.69,0.00,271.84
2019-01-03 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-5.52,0.86,2.86,0.00,269.06
2019-01-03 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.10,0.90,3.00,0.00,258.40
2019-01-03 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.28,0.89,2.99,0.00,240.48
2019-01-03 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.28,0.90,2.86,0.00,222.50
2019-01-03 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.41,0.91,3.31,0.00,223.24
2019-01-03 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.96,0.88,3.73,0.00,221.27
2019-01-03 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.08,0.88,3.69,0.00,221.61
2019-01-03 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.01,0.87,3.37,0.00,225.41
2019-01-03 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.61,0.87,3.29,0.00,228.84
2019-01-03 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.07,0.86,3.57,0.06,248.70
2019-01-03 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.59,0.81,3.63,51.55,239.74
2019-01-03 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.94,0.76,3.78,155.04,247.24
2019-01-03 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.01,0.72,3.89,256.32,255.08
2019-01-03 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.01,0.71,4.38,330.37,250.89
2019-01-03 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.80,0.70,4.79,334.75,257.18
2019-01-03 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.48,0.70,4.73,251.84,271.29
2019-01-03 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.66,0.67,4.69,183.85,271.82
2019-01-03 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.22,0.71,3.71,100.59,261.54
2019-01-03 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.60,0.75,3.56,17.64,249.88
2019-01-04 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.03,0.78,3.86,0.00,246.24
2019-01-04 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.86,0.79,3.82,0.00,244.38
2019-01-04 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.38,0.80,3.78,0.00,242.91
2019-01-04 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.51,0.83,3.80,0.00,243.23
2019-01-04 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.55,0.83,3.85,0.00,245.80
2019-01-04 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.14,0.85,4.05,0.00,248.83
2019-01-04 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.60,0.88,4.21,0.00,245.95
2019-01-04 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.89,0.86,3.59,0.00,243.12
2019-01-04 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.12,0.88,3.31,0.00,244.29
2019-01-04 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.73,0.89,3.33,0.00,245.56
2019-01-04 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.73,0.92,3.00,0.00,244.99
2019-01-04 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.67,0.91,2.58,0.00,242.20
2019-01-04 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.74,0.91,2.35,0.00,240.41
2019-01-04 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.88,0.91,2.25,0.00,239.85
2019-01-04 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.93,0.90,2.09,0.06,238.95
2019-01-04 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.20,0.87,2.47,55.65,238.82
2019-01-04 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.84,0.81,1.86,179.85,240.32
2019-01-04 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.18,0.78,1.16,287.84,243.48
2019-01-04 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.64,0.74,1.25,354.07,246.86
2019-01-04 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.75,0.73,1.27,369.29,251.99
2019-01-04 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.60,0.70,1.54,331.64,255.13
2019-01-04 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,5.35,0.68,1.75,246.56,256.36
2019-01-04 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.51,0.73,2.27,128.19,256.04
2019-01-04 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.76,0.76,2.74,19.32,252.85
2019-01-05 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.65,0.80,3.02,0.00,249.65
2019-01-05 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.83,0.83,3.10,0.00,247.35
2019-01-05 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.20,0.85,3.21,0.00,245.57
2019-01-05 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.27,0.86,3.01,0.00,243.96
2019-01-05 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.07,0.87,2.75,0.00,242.46
2019-01-05 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.20,0.87,2.70,0.00,241.05
2019-01-05 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.14,0.90,2.71,0.00,240.74
2019-01-05 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.38,0.90,2.79,0.00,243.15
2019-01-05 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.41,0.91,2.84,0.00,241.09
2019-01-05 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.81,0.91,3.14,0.00,240.14
2019-01-05 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.00,0.89,4.24,0.00,241.74
2019-01-05 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.61,0.87,4.34,0.00,238.14
2019-01-05 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.57,0.87,4.18,0.00,238.33
2019-01-05 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.58,0.86,3.99,0.00,238.33
2019-01-05 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.61,0.86,4.14,0.06,238.05
2019-01-05 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.08,0.81,4.21,58.23,234.35
2019-01-05 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.15,0.74,4.11,186.65,235.23
2019-01-05 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.65,0.68,3.96,296.99,238.28
2019-01-05 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,5.21,0.67,4.31,364.31,242.07
2019-01-05 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,5.68,0.66,4.45,380.20,245.04
2019-01-05 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,6.04,0.65,4.05,341.98,245.62
2019-01-05 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,6.12,0.65,3.63,254.99,246.53
2019-01-05 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.06,0.74,2.82,132.66,246.55
2019-01-05 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.32,0.79,2.92,20.94,241.37
2019-01-06 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.64,0.80,3.14,0.00,244.00
2019-01-06 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.72,0.82,2.98,0.00,234.22
2019-01-06 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.08,0.83,2.78,0.00,234.11
2019-01-06 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.85,0.88,2.59,0.00,226.49
2019-01-06 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.29,0.88,2.61,0.00,222.64
2019-01-06 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.69,0.89,2.31,0.00,221.07
2019-01-06 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.92,0.90,2.06,0.00,216.17
2019-01-06 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-4.22,0.89,2.12,0.00,221.59
2019-01-06 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.42,0.88,2.51,0.00,219.31
2019-01-06 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.87,0.87,2.29,0.00,222.14
2019-01-06 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-4.09,0.92,2.85,0.00,225.71
2019-01-06 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-4.07,0.91,2.87,0.00,237.37
2019-01-06 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.97,0.91,2.95,0.00,252.04
2019-01-06 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.82,0.90,3.30,0.00,252.03
2019-01-06 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.44,0.90,3.75,0.06,252.16
2019-01-06 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.04,0.86,4.21,30.43,266.52
2019-01-06 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.44,0.84,4.41,92.27,268.62
2019-01-06 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.62,0.81,4.97,146.05,275.72
2019-01-06 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.15,0.77,5.23,193.74,276.58
2019-01-06 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.73,0.74,5.37,190.43,287.10
2019-01-06 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.98,0.74,5.86,115.50,291.55
2019-01-06 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.31,0.71,6.70,106.97,295.16
2019-01-06 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.35,0.70,6.41,54.47,291.31
2019-01-06 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.36,0.71,7.11,8.07,292.58
2019-01-07 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.60,0.69,8.01,0.00,295.53
2019-01-07 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.62,0.69,8.25,0.00,295.95
2019-01-07 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.66,0.70,7.82,0.00,302.26
2019-01-07 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.84,0.74,7.87,0.00,303.12
2019-01-07 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.15,0.74,8.14,0.00,308.40
2019-01-07 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.18,0.76,7.96,0.00,310.87
2019-01-07 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.97,0.80,7.68,0.00,316.69
2019-01-07 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.34,0.82,7.27,0.00,322.34
2019-01-07 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.65,0.86,6.80,0.00,323.59
2019-01-07 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.67,0.88,6.28,0.00,326.23
2019-01-07 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.93,0.94,5.01,0.00,330.04
2019-01-07 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.05,0.95,4.14,0.00,334.89
2019-01-07 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.15,0.95,3.35,0.00,333.89
2019-01-07 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,4.08,0.95,2.44,0.00,324.43
2019-01-07 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.94,0.96,2.66,0.06,322.87
2019-01-07 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.64,0.92,3.17,25.16,317.39
2019-01-07 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.27,0.91,3.98,78.06,312.03
2019-01-07 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.50,0.89,4.26,162.21,305.83
2019-01-07 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.37,0.88,4.15,151.11,317.30
2019-01-07 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.34,0.87,4.74,135.06,311.97
2019-01-07 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.41,0.83,4.64,133.19,324.12
2019-01-07 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,3.09,0.82,4.58,147.72,310.21
2019-01-07 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,2.28,0.86,2.91,106.88,273.54
2019-01-07 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.82,0.88,2.67,20.89,254.57
2019-01-08 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.35,0.88,3.02,0.00,230.55
2019-01-08 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,1.26,0.89,2.99,0.00,230.44
2019-01-08 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.86,0.90,2.75,0.00,225.54
2019-01-08 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.46,0.91,2.27,0.00,227.00
2019-01-08 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.48,0.92,2.35,0.00,247.41
2019-01-08 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.33,0.92,2.66,0.00,264.68
2019-01-08 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.13,0.93,2.60,0.00,263.19
2019-01-08 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.23,0.92,2.73,0.00,269.84
2019-01-08 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.13,0.90,3.45,0.00,268.10
2019-01-08 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.61,0.83,4.22,0.00,265.41
2019-01-08 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.69,0.72,5.12,0.00,275.27
2019-01-08 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.53,0.70,6.30,0.00,281.66
2019-01-08 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,0.21,0.69,6.00,0.00,249.51
2019-01-08 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.14,0.68,5.75,0.00,239.05
2019-01-08 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-0.44,0.67,5.97,0.16,252.21
2019-01-08 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.22,0.64,6.40,41.61,257.30
2019-01-08 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-1.56,0.62,8.33,103.68,275.61
2019-01-08 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-2.35,0.59,9.21,156.02,280.34
2019-01-08 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-3.52,0.57,9.50,166.58,279.41
2019-01-08 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-4.74,0.57,9.04,190.45,265.51
2019-01-08 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-5.70,0.57,8.81,176.74,253.27
2019-01-08 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.94,0.57,8.67,155.70,245.55
2019-01-08 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-8.21,0.57,7.99,92.04,245.14
2019-01-08 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-8.56,0.57,8.03,13.56,248.65
2019-01-09 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-8.82,0.59,8.25,0.00,227.34
2019-01-09 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.04,0.59,7.95,0.00,237.39
2019-01-09 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.47,0.60,7.67,0.00,225.71
2019-01-09 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.45,0.62,7.20,0.00,219.54
2019-01-09 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.83,0.63,6.63,0.00,210.26
2019-01-09 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.11,0.64,6.47,0.00,213.50
2019-01-09 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.58,0.64,6.87,0.00,213.83
2019-01-09 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.67,0.63,6.84,0.00,216.30
2019-01-09 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.00,0.64,6.64,0.00,212.13
2019-01-09 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.69,0.62,6.67,0.00,215.86
2019-01-09 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.03,0.68,6.24,0.00,204.52
2019-01-09 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.02,0.68,6.15,0.00,198.99
2019-01-09 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.06,0.68,6.08,0.00,193.83
2019-01-09 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.06,0.67,5.66,0.00,192.92
2019-01-09 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.28,0.67,5.38,0.16,186.32
2019-01-09 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.66,0.64,5.56,58.55,181.33
2019-01-09 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.16,0.62,5.32,193.23,179.94
2019-01-09 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.32,0.59,4.99,302.27,184.80
2019-01-09 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.67,0.58,4.83,370.89,189.03
2019-01-09 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.97,0.57,4.58,398.44,183.90
2019-01-09 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.25,0.56,4.33,363.33,185.61
2019-01-09 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.59,0.55,4.13,276.94,187.12
2019-01-09 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.18,0.60,3.66,152.57,187.74
2019-01-09 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.00,0.64,3.42,28.37,187.94
2019-01-10 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.20,0.67,3.33,0.00,187.76
2019-01-10 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.34,0.67,3.05,0.00,187.45
2019-01-10 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.58,0.68,2.81,0.00,187.04
2019-01-10 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.15,0.70,2.55,0.00,191.07
2019-01-10 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.27,0.70,2.24,0.00,197.15
2019-01-10 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.26,0.72,2.09,0.00,202.66
2019-01-10 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.35,0.72,1.96,0.00,212.73
2019-01-10 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.32,0.71,1.87,0.00,217.73
2019-01-10 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.98,0.70,1.98,0.00,226.38
2019-01-10 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.33,0.64,1.72,0.00,240.59
2019-01-10 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.09,0.68,1.15,0.00,249.62
2019-01-10 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.07,0.68,0.99,0.00,246.17
2019-01-10 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.05,0.68,1.10,0.00,235.44
2019-01-10 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.97,0.67,1.51,0.00,224.65
2019-01-10 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.80,0.67,1.79,0.16,227.92
2019-01-10 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.45,0.64,2.20,55.27,217.72
